Ind	Pop	One_ACBP_79	One_agt_132	One_aldB_152	One_apoe_83	One_c3_98	One_CD9_269	One_cetn1_167	One_CFP1	One_cin_177	One_ctgf_301	One_E2	One_gdh_212	One_GHII_2461	One_ghsR_66	One_GPDH	One_GPDH2	One_GPH_414	One_hcs71_220	One_HGFA	One_HpaI_436	One_HpaI_99	One_Hsp47	One_IL8r_362	One_KCT1_453	One_KPNA_422	One_LEI_87	One_lpp1_44	One_metA_253	One_MHC2_190	One_MHC2_251	One_Mkpro_129	One_ODC1_196	One_Ots208_234	One_Ots213_181	One_p53_576	One_pax7_248	One_PIP	One_Prl2	One_rab1a_76	One_RAG1_103	One_RAG3_93	One_redd1_414	One_RF_112	One_RF_295	One_rpo2j_261	One_sast_211	One_spf30_207	One_srp09_127	One_ssrd_135	One_STC_410	One_STR07	One_SUMO1_6	One_sys1_230	One_taf12_248	One_Tf_ex10_750	One_Tf_ex3_182	One_tshB_92	One_txnip_401	One_U1003_75	One_U1004_183	One_U1009_91	One_U1010_81	One_U1012_68	One_U1013_108	One_U1014_74	One_U1016_115	One_U1024_197	One_U1101	One_U1103	One_U1105	One_U1201_492	One_U1202_1052	One_U1203_175	One_U1204_53	One_U1205_57	One_U1206_108	One_U1208_67	One_U1209_111	One_U1210_173	One_U1212_106	One_U1214_107	One_U1216_230	One_U301_92	One_U401_224	One_U404_229	One_U502_167	One_U503_170	One_U504_141	One_vamp5_255	One_vatf_214	One_VIM_569	One_ZNF_61	One_zP3b	One_Omy77v4	One_One100	One_One102v4	One_One103PT	One_One105	One_One108v4	One_One110v4	One_One111v4	One_One114v4	One_One115	One_Ots103v4	One_Ots107v4	One_uSat60v4	One_CO1	One_Cytb_17	One_Cytb_26
KTE6_053	KTE6	001/001	002/002	002/002	002/002	002/002	001/002	002/002	001/001	001/001	001/001	002/002	002/002	002/002	001/001	001/001	002/002	001/002	002/002	001/002	001/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	000/000	001/001	001/002	002/002	002/002	002/002	002/002	002/002	001/002	001/001	002/002	001/001	001/002	001/001	000/000	001/001	001/001	001/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	000/000	001/001	002/002	002/002	002/002	002/002	100/104	344/360	231/239	190/278	128/128	184/244	246/254	202/298	239/263	213/217	153/165	114/114	116/116	001	002	002
KTE6_054	KTE6	001/002	001/002	001/002	001/001	002/002	000/000	002/002	001/001	001/002	001/001	001/002	001/001	002/002	000/000	001/002	002/002	001/002	002/002	001/001	001/002	001/001	001/002	001/002	002/002	002/002	001/001	002/002	001/001	001/002	000/000	002/002	001/002	002/002	001/002	001/002	000/000	001/002	001/002	001/001	002/002	001/002	001/002	001/001	001/001	001/001	001/001	001/002	002/002	001/002	002/002	001/001	001/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	002/002	002/002	000/000	000/000	001/001	001/001	001/002	001/001	001/002	002/002	002/002	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	002/002	002/002	002/002	104/106	336/364	211/223	290/314	128/128	180/196	242/258	202/242	259/263	177/193	181/193	114/118	116/128	002	002	001
KTE6_055	KTE6	002/002	001/002	001/001	002/002	001/002	001/002	001/001	001/002	001/002	001/001	001/002	002/002	001/002	001/001	001/002	002/002	002/002	002/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	000/000	002/002	001/001	002/002	002/002	002/002	002/002	001/002	000/000	002/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/001	001/001	000/000	001/002	001/002	001/001	002/002	001/002	001/001	001/001	001/002	002/002	002/002	002/002	001/002	001/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	002/002	001/002	001/002	002/002	001/001	001/001	001/001	002/002	001/002	001/002	002/002	002/002	002/002	002/002	100/104	332/340	215/243	290/314	132/136	192/204	250/250	206/286	255/263	201/217	169/173	114/080	116/128	001	002	002
KTE6_056	KTE6	001/001	001/002	001/002	002/002	002/002	001/002	001/001	001/001	002/002	001/001	001/001	001/002	001/002	000/000	001/002	002/002	001/002	002/002	001/002	001/001	002/002	001/002	001/001	002/002	001/001	001/001	001/002	001/001	001/002	002/002	001/001	000/000	000/000	002/002	002/002	002/002	001/001	001/001	001/001	001/002	001/001	002/002	001/002	001/001	001/001	000/000	001/002	002/002	000/000	002/002	001/002	002/002	001/002	001/001	000/000	001/002	001/001	001/001	002/002	001/001	002/002	002/002	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/001	001/001	001/001	001/002	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	000/000	001/001	001/001	002/002	002/002	001/001	001/002	002/002	002/002	002/002	104/104	324/344	231/251	278/298	128/128	192/216	266/284	198/286	255/259	213/217	137/161	114/118	128/128	002	002	001
KTE6_057	KTE6	001/001	001/002	001/001	002/002	002/002	001/002	002/002	001/001	001/002	001/001	002/002	001/002	001/002	001/001	002/002	001/002	001/002	002/002	001/001	001/002	002/002	001/002	001/002	002/002	001/002	001/001	002/002	001/001	001/002	001/002	002/002	000/000	001/001	002/002	002/002	002/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	001/001	001/001	001/001	001/001	002/002	001/002	001/002	001/002	002/002	001/002	001/001	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/001	001/002	001/002	002/002	002/002	002/002	002/002	104/104	324/328	227/255	314/330	128/140	188/200	254/266	206/290	275/275	205/209	177/185	114/080	116/116	001	002	002
KTE6_058	KTE6	002/002	001/002	001/002	002/002	002/002	001/002	002/002	001/001	001/002	001/001	001/001	001/002	002/002	001/002	001/001	002/002	001/002	002/002	001/001	001/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	001/001	002/002	001/002	001/002	002/002	002/002	001/002	002/002	002/002	001/002	001/001	001/001	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/002	001/001	001/001	001/001	002/002	001/002	001/001	001/001	001/002	001/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	001/001	002/002	001/001	001/001	002/002	002/002	001/002	001/002	001/001	001/002	001/002	001/001	001/001	002/002	001/001	001/001	002/002	002/002	002/002	002/002	100/104	328/348	223/235	274/314	128/132	184/196	226/238	206/206	251/259	177/217	169/173	114/114	116/128	001	002	002
KTE6_059	KTE6	002/002	002/002	001/002	002/002	002/002	001/002	001/002	001/002	002/002	001/001	001/002	001/001	002/002	001/002	001/002	002/002	002/002	001/002	001/002	001/002	001/001	001/002	001/002	002/002	001/002	001/001	001/002	001/001	002/002	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/002	000/000	001/002	001/002	001/001	001/001	001/001	001/001	001/001	001/001	001/001	002/002	002/002	001/002	001/001	002/002	001/001	001/001	001/001	001/001	001/001	001/001	001/002	001/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/002	002/002	000/000	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/002	002/002	002/002	002/002	002/002	100/104	348/364	215/243	278/318	128/128	192/228	242/282	206/278	263/271	205/213	193/197	114/114	116/128	001	002	002
KTE6_060	KTE6	001/002	002/002	001/002	001/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/002	002/002	002/002	002/002	002/002	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/002	002/002	002/002	002/002	001/002	002/002	001/002	001/001	002/002	001/002	001/001	001/001	002/002	001/002	002/002	002/002	001/001	002/002	001/002	002/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/002	001/002	001/002	001/001	001/002	001/002	002/002	001/002	001/002	002/002	001/002	002/002	100/104	336/348	207/223	342/346	128/132	196/208	254/278	198/242	171/267	201/209	173/185	110/114	116/128	001	002	002
KTE6_061	KTE6	001/001	002/002	001/002	002/002	002/002	001/002	001/001	001/001	001/002	001/001	001/001	001/002	002/002	001/002	001/002	002/002	001/002	002/002	001/001	000/000	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/001	000/000	002/002	001/002	002/002	002/002	002/002	002/002	002/002	001/001	001/001	001/001	002/002	001/002	002/002	001/001	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/001	001/002	001/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/002	001/002	001/002	002/002	002/002	002/002	002/002	104/104	332/336	207/247	190/198	128/128	192/196	222/250	194/202	235/247	185/225	197/205	114/080	128/128	001	002	002
KTE6_062	KTE6	002/002	002/002	001/002	001/002	002/002	001/001	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/001	000/000	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/001	001/002	001/002	002/002	001/001	002/002	001/002	002/002	002/002	001/001	001/001	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/002	002/002	001/002	001/002	001/002	002/002	001/001	001/001	001/001	001/001	001/001	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/001	001/001	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	002/002	001/002	002/002	100/104	352/364	207/239	286/302	128/136	196/208	000/000	198/206	243/263	205/213	157/189	118/080	116/128	002	002	001
KTE6_063	KTE6	001/001	002/002	001/001	002/002	002/002	002/002	001/001	001/001	002/002	001/001	001/002	002/002	002/002	001/001	001/002	002/002	001/002	001/002	001/001	001/002	001/002	002/002	001/002	001/002	002/002	001/002	001/002	001/001	001/002	002/002	001/002	002/002	002/002	001/002	002/002	001/002	001/001	001/002	001/001	002/002	001/001	001/002	002/002	001/001	001/002	001/001	001/001	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/002	001/001	001/001	001/001	002/002	001/002	001/002	002/002	001/001	001/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	002/002	001/002	002/002	102/104	316/336	207/243	298/306	128/128	196/200	242/254	202/202	243/263	193/205	157/177	114/118	116/116	001	002	002
KTE6_064	KTE6	002/002	002/002	002/002	001/002	002/002	001/002	001/002	001/002	002/002	001/001	001/001	002/002	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/002	001/002	001/002	001/001	001/002	001/002	001/001	002/002	001/001	001/002	002/002	002/002	001/001	002/002	002/002	002/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/002	001/001	002/002	002/002	000/000	001/002	001/001	001/002	001/001	002/002	001/002	001/001	001/001	001/001	002/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/001	001/002	001/002	001/001	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/001	001/002	001/002	002/002	002/002	104/104	324/348	223/235	298/318	128/129	192/196	238/250	202/230	223/259	189/213	193/197	114/080	116/128	001	002	002
KTE6_065	KTE6	001/001	001/001	001/001	002/002	002/002	001/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/001	001/002	001/002	002/002	002/002	001/001	000/000	002/002	002/002	001/001	002/002	001/002	001/002	001/002	001/001	001/002	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/001	001/002	001/002	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/001	002/002	001/002	001/002	001/002	001/001	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	001/002	001/001	001/001	002/002	001/002	001/001	002/002	002/002	001/001	002/002	001/002	001/002	001/001	001/002	001/001	001/002	002/002	001/002	001/002	001/002	001/001	002/002	104/104	332/352	223/235	278/334	128/132	192/200	234/286	198/198	235/239	205/213	165/185	114/118	116/128	002	002	001
KTE6_066	KTE6	001/001	001/002	001/002	001/002	002/002	000/000	002/002	001/001	001/002	001/001	001/002	002/002	001/002	001/002	001/002	002/002	001/002	001/002	001/001	001/002	001/002	002/002	001/001	002/002	001/001	001/002	001/002	001/001	002/002	002/002	002/002	002/002	002/002	002/002	002/002	001/002	001/002	002/002	001/001	001/002	001/001	001/002	001/001	001/001	001/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/002	001/002	001/001	001/001	001/001	001/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	001/002	002/002	001/001	001/002	001/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	002/002	104/104	332/340	239/243	306/310	128/128	208/224	266/274	202/286	259/267	213/217	181/201	114/114	116/116	001	002	002
KTE6_067	KTE6	001/002	002/002	001/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/002	001/002	002/002	001/001	001/001	002/002	001/002	002/002	001/001	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/002	001/001	001/001	001/002	002/002	001/001	002/002	002/002	002/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	002/002	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/002	001/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	002/002	001/002	001/002	001/002	002/002	002/002	001/001	001/002	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	002/002	001/002	002/002	100/104	348/372	215/235	186/298	128/132	196/208	242/274	246/286	239/267	189/197	193/205	114/114	116/126	001	002	002
KTE6_068	KTE6	001/002	001/001	001/002	002/002	002/002	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	002/002	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/001	001/002	001/001	002/002	002/002	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/001	002/002	001/002	001/002	001/001	001/002	001/001	001/001	001/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	001/002	001/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	001/001	002/002	001/002	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/002	002/002	001/001	001/001	001/001	002/002	002/002	002/002	002/002	002/002	002/002	002/002	104/106	356/360	207/235	238/322	128/128	192/200	238/262	198/202	279/291	193/225	181/185	110/114	116/116	001	002	002
KTE6_069	KTE6	001/002	000/000	001/002	002/002	001/002	001/002	001/002	001/001	000/000	001/001	001/001	001/002	002/002	001/002	001/002	002/002	001/001	001/002	001/001	001/001	001/002	001/002	001/002	002/002	001/002	001/001	001/002	001/001	001/002	001/002	000/000	000/000	000/000	002/002	000/000	002/002	001/001	000/000	001/002	002/002	001/001	002/002	000/000	001/001	001/001	001/001	001/002	002/002	002/002	000/000	001/002	002/002	001/001	001/001	001/002	001/001	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/002	000/000	002/002	001/001	002/002	002/002	000/000	001/002	002/002	001/002	001/002	001/001	001/002	001/001	002/002	001/002	002/002	001/002	002/002	001/001	001/001	001/001	002/002	000/000	001/001	002/002	002/002	001/001	002/002	100/100	332/344	235/247	298/310	124/124	184/208	242/242	238/286	243/247	185/217	197/205	118/118	116/128	001	002	002
KTE6_070	KTE6	001/001	002/002	001/001	001/002	002/002	001/002	001/002	001/001	002/002	001/001	001/001	001/002	002/002	001/002	001/001	002/002	001/001	002/002	001/002	001/002	001/001	002/002	001/001	001/002	001/002	001/002	002/002	001/001	002/002	002/002	002/002	002/002	002/002	001/002	001/002	002/002	002/002	000/000	001/001	002/002	001/002	001/002	001/001	001/001	001/002	001/001	001/002	002/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/001	001/002	001/001	001/002	002/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	001/002	001/002	001/001	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/002	002/002	002/002	001/002	104/104	336/340	207/243	302/314	128/132	192/208	246/286	202/270	259/271	205/209	181/185	114/114	116/128	001	002	002
KTE6_071	KTE6	001/001	001/001	001/002	001/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	002/002	002/002	001/002	001/002	001/002	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	000/000	002/002	002/002	002/002	002/002	002/002	002/002	000/000	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/001	001/001	002/002	001/002	001/002	001/001	001/001	001/001	001/001	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	001/002	002/002	002/002	002/002	002/002	001/001	002/002	001/002	001/002	001/001	002/002	002/002	001/002	001/001	001/002	002/002	002/002	001/001	002/002	001/002	002/002	001/002	001/001	001/001	002/002	001/002	001/001	001/002	001/002	002/002	002/002	100/100	328/340	215/239	310/326	132/132	192/204	242/246	198/246	235/279	213/217	181/201	114/114	116/116	001	002	002
KTE6_072	KTE6	001/001	002/002	002/002	002/002	002/002	001/002	001/001	001/001	002/002	000/000	001/002	002/002	002/002	001/002	001/002	002/002	001/001	002/002	001/001	002/002	002/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/002	002/002	002/002	002/002	002/002	001/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/002	001/002	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/001	001/001	001/002	002/002	000/000	002/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/002	001/002	002/002	001/001	001/001	002/002	000/000	001/001	001/002	002/002	001/001	002/002	000/000	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/002	002/002	001/002	002/002	104/110	340/344	215/239	274/342	128/128	188/208	238/278	206/206	239/259	197/217	145/181	114/080	116/116	002	002	001
KTE6_073	KTE6	001/002	001/002	001/002	001/002	002/002	001/002	001/002	001/001	001/002	001/001	001/002	001/001	002/002	002/002	002/002	001/002	001/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	002/002	002/002	001/002	001/002	002/002	002/002	001/001	001/002	001/002	002/002	001/002	002/002	001/001	001/001	001/001	001/001	001/002	002/002	001/002	001/002	001/002	002/002	001/001	001/001	001/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	001/002	002/002	002/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	001/002	002/002	001/002	002/002	002/002	001/002	002/002	100/104	332/344	231/239	278/322	128/128	200/220	242/262	234/298	239/259	205/217	169/193	114/114	128/128	001	002	002
KTE6_074	KTE6	001/002	001/001	001/002	002/002	002/002	000/000	001/002	001/001	002/002	001/002	001/001	002/002	002/002	001/001	001/002	001/002	001/001	002/002	001/001	001/001	001/001	002/002	001/001	002/002	001/001	001/001	001/002	001/001	002/002	002/002	001/001	001/002	002/002	001/002	002/002	002/002	001/002	001/002	001/001	001/002	001/002	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/001	002/002	001/001	002/002	001/001	001/001	002/002	001/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/002	001/001	001/002	001/001	002/002	001/001	001/002	002/002	002/002	001/002	002/002	001/002	002/002	001/002	001/002	001/001	001/002	001/001	002/002	002/002	001/001	001/002	002/002	100/108	344/348	207/211	270/334	128/128	204/208	230/274	238/278	247/267	209/213	177/185	114/114	116/116	002	002	001
KTE6_075	KTE6	001/002	001/002	000/000	001/002	002/002	000/000	001/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	001/002	002/002	001/001	002/002	000/000	002/002	000/000	001/002	001/001	002/002	000/000	001/002	001/002	001/001	002/002	001/002	002/002	001/002	002/002	002/002	002/002	002/002	001/001	001/001	001/001	002/002	001/001	002/002	001/001	001/001	001/002	001/001	000/000	002/002	001/002	002/002	001/001	000/000	001/001	001/001	002/002	001/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	002/002	000/000	001/002	000/000	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	000/000	002/002	001/001	001/001	001/001	002/002	000/000	001/001	002/002	002/002	002/002	002/002	104/104	344/348	211/243	206/302	128/140	196/272	270/284	234/306	243/243	193/209	177/181	114/114	116/116	001	002	002
KTE6_076	KTE6	001/001	002/002	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/001	001/001	001/001	001/001	001/001	001/002	001/002	001/002	001/002	002/002	002/002	001/002	001/001	001/002	002/002	001/002	002/002	001/002	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/002	001/002	000/000	001/001	002/002	002/002	001/001	001/001	002/002	002/002	002/002	001/002	001/001	002/002	001/002	002/002	001/002	001/002	002/002	002/002	001/002	001/002	002/002	001/002	002/002	001/002	001/002	002/002	002/002	001/001	002/002	001/002	001/002	001/002	001/001	001/001	002/002	002/002	002/002	002/002	002/002	001/002	002/002	104/104	332/336	235/235	298/318	128/128	200/272	230/266	198/230	219/259	197/205	197/201	110/114	116/130	001	002	002
KTE6_077	KTE6	001/001	002/002	001/001	001/002	002/002	001/001	001/002	001/001	001/002	001/001	001/001	001/002	002/002	001/001	002/002	002/002	002/002	002/002	001/001	001/002	002/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	002/002	002/002	002/002	001/002	002/002	002/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/001	001/001	001/001	002/002	001/001	001/001	002/002	001/001	002/002	002/002	002/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	001/001	001/002	001/002	002/002	001/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/002	001/002	002/002	001/001	001/002	002/002	001/002	002/002	002/002	100/100	336/348	231/247	298/302	132/132	196/212	226/242	198/202	219/251	209/217	173/201	114/114	128/128	001	002	002
KTE6_078	KTE6	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	001/002	002/002	001/001	001/001	002/002	001/001	002/002	001/001	002/002	001/002	000/000	001/001	002/002	001/001	001/001	001/001	001/001	001/002	002/002	002/002	002/002	002/002	000/000	001/002	001/002	001/001	001/001	002/002	002/002	001/001	001/001	001/001	001/001	001/002	001/001	001/001	002/002	001/001	001/002	001/001	002/002	001/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	000/000	002/002	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/002	001/001	001/002	002/002	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	001/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	000/000	001/002	002/002	100/104	352/356	215/231	318/354	132/132	192/272	238/242	194/198	251/267	209/209	161/177	114/118	116/128	001	002	002
KTE6_079	KTE6	001/002	001/002	001/002	002/002	002/002	001/001	001/001	001/001	002/002	001/001	001/002	002/002	002/002	002/002	001/002	002/002	001/002	002/002	001/001	001/002	002/002	002/002	001/001	001/002	002/002	001/001	001/002	001/001	001/001	002/002	002/002	002/002	002/002	002/002	002/002	001/002	001/001	001/001	001/001	002/002	001/001	001/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/001	002/002	001/001	001/002	002/002	002/002	001/001	001/001	001/002	002/002	002/002	002/002	001/001	001/002	002/002	001/002	001/002	001/002	002/002	002/002	002/002	001/002	001/002	001/001	002/002	001/001	001/002	001/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	001/001	002/002	001/002	001/002	001/002	002/002	002/002	002/002	104/104	308/348	211/235	294/314	128/132	192/200	250/250	202/234	255/259	177/209	177/185	114/118	128/128	001	002	002
KTE6_080	KTE6	001/001	001/002	002/002	002/002	002/002	001/001	001/002	001/001	001/002	001/001	001/001	001/001	002/002	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/001	002/002	001/002	001/002	001/002	001/001	002/002	002/002	001/001	001/002	002/002	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/001	002/002	001/002	001/002	001/001	002/002	001/001	001/002	002/002	001/001	001/001	001/001	001/002	001/002	002/002	002/002	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/002	002/002	001/001	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	001/001	001/002	002/002	104/104	332/356	207/239	298/326	128/128	188/248	238/282	218/266	171/271	201/217	181/193	114/114	116/130	001	002	002
KTE6_081	KTE6	001/002	001/002	001/002	002/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/001	002/002	001/001	002/002	001/001	001/002	001/002	001/002	001/001	002/002	001/001	002/002	001/002	001/001	002/002	001/002	001/002	002/002	002/002	002/002	002/002	001/002	001/001	002/002	001/001	002/002	001/001	001/002	001/001	001/002	001/002	001/001	001/001	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/002	001/001	001/001	001/001	002/002	002/002	002/002	002/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	001/002	002/002	001/002	002/002	001/002	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/001	001/002	002/002	002/002	001/002	002/002	002/002	001/002	002/002	100/104	356/356	207/231	186/326	128/148	184/208	246/258	282/282	259/279	205/213	157/177	114/114	116/128	002	002	001
